                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6747,                 6.5659,                 1.7835,                      0,                      0,                      0,                      0,                 2.0045,                 16.255,                 2.4207,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.5562,                 3.2654,                  1.677,                  0.991,                  0.375,                0.44564,                0.23726,                  1.601,                 6.0394,                 1.9886,             0.00020598,             0.00020598,             0.00020598
                      3,                 1.3674,                 2.2775,                  1.587,                0.80261,                   0.65,                0.77192,                 0.5092,                 1.2808,                 2.8257,                 1.5568,             0.00030039,             0.00030039,             0.00030039
                      4,                 1.4707,                 1.5489,                 1.8296,                0.88459,                0.49851,                0.68306,                0.34475,                 1.6701,                 2.0341,                 1.8931,             0.00038325,             0.00038325,             0.00038325
                      5,                 1.2063,                  1.306,                 1.4238,                0.61888,                  0.625,                0.82438,                0.53777,                 1.2241,                 2.7099,                 1.6098,             0.00045456,             0.00045456,             0.00045456
                      6,                 1.4082,                 1.3313,                 1.6387,                0.87872,                0.74041,                0.79579,                0.47344,                 1.3268,                 1.6476,                 1.7853,             0.00051431,             0.00051431,             0.00051431
                      7,                 1.1918,                 1.2122,                 1.4628,                0.63653,                 0.9543,                0.71861,                 0.4526,                  1.358,                 3.0058,                 1.9566,             0.00056251,             0.00056251,             0.00056251
                      8,                 1.4252,                  1.173,                 1.5542,                0.39769,                0.64556,                0.34927,                0.16116,                 2.0608,                 5.7784,                 2.7212,             0.00059916,             0.00059916,             0.00059916
                      9,                 1.2858,                 1.2929,                 1.5997,                0.34564,                    0.7,                0.32932,                0.21228,                 1.4413,                 6.8513,                 2.0585,             0.00062426,             0.00062426,             0.00062426
                     10,                 1.2246,                0.98053,                 1.4222,                 0.7522,                0.78033,                0.82781,                0.43718,                  1.335,                 2.8955,                 2.0806,              0.0006378,              0.0006378,              0.0006378
                     11,                 1.2833,                 1.3094,                 1.7785,                0.81557,                 0.7731,                0.77298,                  0.423,                 1.4833,                 2.2892,                 1.9891,             0.00063979,             0.00063979,             0.00063979
                     12,                 1.1022,                0.88341,                 1.5477,                 0.4104,                0.49646,                0.45468,                0.14115,                 2.0504,                 2.6892,                 2.5125,             0.00063023,             0.00063023,             0.00063023
                     13,                 1.0711,                0.73114,                 1.5163,                0.49219,                    0.5,                 0.5074,                0.19222,                 1.9876,                  18.12,                 2.4076,             0.00060912,             0.00060912,             0.00060912
                     14,                  1.064,                0.82256,                   1.48,                0.87392,                      1,                   0.97,                0.70807,                 1.0834,                 1.4047,                 1.6393,             0.00057646,             0.00057646,             0.00057646
                     15,                 1.0336,                0.74155,                 1.4779,                0.59627,                0.84437,                0.61388,                0.44002,                 1.0318,                  5.166,                 1.6602,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.0117,                0.68045,                 1.5261,                0.51759,                      1,                0.55278,                0.36567,                 1.0665,                 6.7405,                 1.5417,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0615,                0.62692,                 1.4676,                0.71386,                      1,                0.89083,                0.66756,                 1.0238,                 1.7264,                 1.4881,             0.00034674,             0.00034674,             0.00034674
                     18,                0.98816,                0.65398,                 1.3446,                0.55627,                      1,                 0.5781,                0.40932,                0.97391,                 2.0823,                 1.5121,             0.00026422,             0.00026422,             0.00026422
                     19,                0.85258,                0.54552,                 1.2856,                0.86363,                      1,                  0.995,                0.78426,                0.90392,                0.89048,                 1.4066,              0.0001817,              0.0001817,              0.0001817
                     20,                0.89164,                0.52842,                  1.337,                0.97688,                      1,                  0.995,                0.78181,                0.93034,                0.51837,                 1.3802,             9.9187e-05,             9.9187e-05,             9.9187e-05
